n_0,R_0,c,r,D,R_max,E_b,R_unc,E_h,v_b,E_m,v_d,E_move,z,K,extinction
0.708542714,0.278551461,0.721845393,0.105879979,0.919460073,0.813564759,0.839201073,0.912284821,0.104085812,0.058467298,0.387613537,0.632795844,0.445986385,0.917614647,0.53560129,1
0.728643216,0.436357877,0.356792263,0.594996149,0.015934401,0.737688392,0.60382487,0.593785354,0.545007384,0.070968248,0.34285987,0.215991249,0.828831904,0.348229767,0.783558522,0
0.753768844,0.530735648,0.630701668,0.855639152,0.825034353,0.620365264,0.981400387,0.297580619,0.794260121,0.182417162,0.305473288,0.781693553,0.417744912,0.89385653,0.41919398,0
0.56281407,0.342829982,0.768416613,0.817176756,0.781494235,0.118337255,0.002876162,0.212434101,0.742418674,0.653384841,0.266810888,0.713491241,0.763777749,0.479068658,0.378588997,0
0.527638191,0.308614313,0.253219983,0.015070204,0.886561992,0.745386501,0.654636056,0.433564201,0.801792684,0.600130145,0.826526029,0.459661517,0.508053161,0.580374992,0.488226876,0
0.251256281,0.244674684,0.457380423,0.87213683,0.357815508,0.750472523,0.885509848,0.890698718,0.759994212,0.847002316,0.061754002,0.387168352,0.430254267,0.761701819,0.340149981,0
0.959798995,0.974745882,0.894005305,0.367167697,0.57731851,0.360647232,0.977598055,0.87083966,0.400391829,0.250246002,0.207128102,0.569218367,0.215513808,0.687917323,0.972324231,1
0.24120603,0.498728926,0.544627979,0.263204804,0.066801277,0.491354215,0.798589977,0.477914316,0.926465482,0.450735134,0.233303334,0.273308243,0.694045994,0.080334306,0.499016825,0
0.507537688,0.645654433,0.907004064,0.307969251,0.802135918,0.275474766,0.895182805,0.095809031,0.180668428,0.06448738,0.963321948,0.732191711,0.11927603,0.189921858,0.36641882,1
0.442211055,0.932086127,0.313349327,0.181485952,0.345224166,0.427682224,0.42688373,0.253641819,0.615532278,0.112143963,0.406672036,0.643475231,0.684523578,0.850581347,0.518025146,0
0.934673367,0.213531306,0.794475743,0.688110668,0.208692017,0.60055062,0.913320107,0.633148985,0.016737927,0.333381387,0.749413986,0.675384168,0.133254978,0.673685925,0.57458778,1
0.150753769,0.990739277,0.28077684,0.625869634,0.73302609,0.37467654,0.469136971,0.015043143,0.483177629,0.952110829,0.970917974,0.262696138,0.858903501,0.016877718,0.422441191,0
0,0.734117308,0.756168708,0.114513293,0.394398151,0.550671613,0.369195955,0.777448248,0.064485387,0.096357114,0.537238589,0.755591357,0.098580313,0.992966557,0.861947378,0
0.48241206,0.255695808,0.557954902,0.719973757,0.252542192,0.960982297,0.38065392,0.180958681,0.849682901,0.674846836,0.32811755,0.986201546,0.746557978,0.718037099,0.463304339,1
0.306532663,0.894763688,0.123245514,0.619827968,0.543023317,0.083453226,0.221286082,0.152134696,0.696920653,0.544055492,0.63041648,0.153027296,0.182836632,0.526194415,0.564717521,0
0.090452261,0.339908457,0.077803003,0.867247104,0.332387461,0.219119383,0.299273887,0.130294816,0.593839877,0.856017372,0.87761849,0.424815692,0.867506424,0.21301092,0.101578274,0
0.909547739,0.445450528,0.268055414,0.562854343,0.311152216,0.536454399,0.180314754,0.331527624,0.295584248,0.831062284,0.612709429,0.462672347,0.234618055,0.105013832,0.273021097,0
0.783919598,0.08146192,0.830567239,0.452815457,0.154799732,0.095960741,0.413130942,0.705757401,0.081167141,0.776381249,0.646670233,0.873741277,0.031225274,0.507862797,0.819314823,1
0.582914573,0.772512578,0.846488286,0.727546815,0.647366838,0.651646305,0.54855267,0.764733434,0.398884947,0.516094549,0.022131843,0.293174904,0.71738701,0.800562624,0.0313153,0
0.552763819,0.313168263,0.294372599,0.555316859,0.222262348,0.321216203,0.921415305,0.346802152,0.93020185,0.479773743,0.226275071,0.356741103,0.792703358,0.499115329,0.255066176,0
0.140703518,0.80994353,0.526163459,0.758919021,0.289228395,0.685558523,0.683644941,0.109511214,0.427496535,0.400089222,0.107872023,0.809702114,0.643595992,0.609209646,0.125564267,1
0.316582915,0.675821269,0.924636228,0.021674863,0.102691867,0.285141131,0.867731751,0.974836686,0.960231431,0.170144355,0.908267259,0.311689128,0.499346234,0.754747668,0.506037032,0
0.904522613,0.602605231,0.968525295,0.259410313,0.891628376,0.471147354,0.674246109,0.901833271,0.375663182,0.284939859,0.213352842,0.902972039,0.589506253,0.654978223,0.156413093,1
0.105527638,0.177177475,0.037429076,0.276965348,0.849826965,0.186009467,0.076744547,0.087289732,0.151946438,0.02644804,0.958440882,0.088671001,0.283642316,0.294727835,0.85091353,0
0.572864322,0.2116842,0.2577015,0.5836174,0.6945601,0.9630796,0.06993899,0.19112494,0.7272188,0.1469022,0.869744,0.6475586,0.2516932,0.7016292,0.1215686,0
0.020100503,0.7922073,0.7268944,0.8747118,0.2392238,0.5709636,0.9501765,0.7588642,0.760526,0.3773666,0.3834416,0.5967378,0.3059056,0.08054172,0.7062802,1
0.944723618,0.8342899,0.999037,0.279736,0.3192481,0.2976116,0.8337044,0.07785202,0.133705,0.6216752,0.6375826,0.7256518,0.7024738,0.16278942,0.7695794,0
0.412060302,0.686871,0.9782908,0.9315338,0.536798,0.802502,0.756833,0.13982134,0.7461316,0.03710766,0.8107626,0.817187,0.17275238,0.6919796,0.4532412,1
0.090452261,0.1072436,0.5247895,0.8839322,0.9827485,0.9821122,0.2480552,0.4787746,0.4369526,0.3096346,0.9599576,0.857193,0.14383758,0.286897,0.3942478,1
0.91959799,0.9358937,0.3209072,0.609027,0.6877463,0.6829274,0.5222583,0.6642168,0.815788,0.8768142,0.9029664,0.2365598,0.5822908,0.2697156,0.19621202,0
0.175879397,0.5825071,0.7892308,0.5093874,0.8965919,0.8762056,0.9445191,0.8582944,0.7447458,0.8734634,0.5687488,0.02639998,0.5604462,0.6466294,0.8221888,0
0.281407035,0.1827212,0.2152151,0.2461736,0.4246643,0.8730278,0.2028727,0.5341968,0.3408818,0.6692474,0.15487524,0.749309,0.9803878,0.12002502,0.6013252,0
0.266331658,0.8714982,0.8869977,0.4062258,0.6585325,0.8904643,0.1513518,0.3176792,0.561315,0.9154046,0.12066006,0.7246484,0.805378,0.5377146,0.5271876,1
0.301507538,0.4967992,0.3658671,0.11461538,0.009923204,0.3915843,0.9270546,0.17998406,0.008467786,0.5667734,0.6109806,0.8858228,0.8258114,0.739528,0.4388938,1
0.075376884,0.3841868,0.1696782,0.9945594,0.357937,0.03375614,0.04219212,0.2332554,0.1011344,0.8194992,0.5397498,0.8651556,0.7687336,0.7936348,0.013834492,0
0.48241206,0.9663859,0.2209044,0.06052792,0.03894482,0.4868845,0.4070719,0.269628,0.6133902,0.394489,0.16294584,0.8765294,0.4411354,0.937539,0.3836106,0
0.83919598,0.7747996,0.6618552,0.351517,0.8256152,0.5848198,0.2772688,0.3520666,0.3343406,0.6437736,0.5304508,0.1520632,0.2146058,0.14734416,0.3189872,0
0.271356784,0.04503213,0.4199551,0.8572782,0.11446,0.1667641,0.5532555,0.8830236,0.14697774,0.15270724,0.10095162,0.5024816,0.487402,0.8434036,0.237561,0
0.457286432,0.4775816,0.8783917,0.3046732,0.9057217,0.650048,0.2701561,0.380295,0.5112054,0.5636914,0.497103,0.8200014,0.6335436,0.17199854,0.7840426,1
0.954773869,0.7765357,0.2082731,0.675877,0.1783208,0.06677028,0.1587925,0.6182216,0.5221276,0.5164826,0.8488694,0.06493064,0.585224,0.0686769,0.9020018,0
0.743718593,0.9784708,0.6017526,0.2228462,0.6963126,0.2910921,0.05047074,0.386616,0.3822368,0.3415886,0.6615526,0.17353978,0.9789346,0.5457124,0.4671696,0
0.673366834,0.6669503,0.971264,0.704258,0.7391253,0.2863563,0.4486463,0.17026422,0.6248098,0.8012988,0.09691664,0.3971212,0.2756202,0.565107,0.7310898,0
0.658291457,0.4629875,0.3473138,0.9010534,0.4135897,0.4815003,0.5143463,0.8215766,0.6761374,0.996714,0.7612892,0.14622762,0.003960098,0.501997,0.990968,0
0.412060302,0.2591783,0.882986,0.7610576,0.9509718,0.5116775,0.8456795,0.320749,0.399616,0.327506,0.7199312,0.3612482,0.7515084,0.3329374,0.8924248,1
0.954773869,0.2032477,0.02884209,0.9466438,0.6187469,0.4978365,0.4668456,0.6664544,0.80974,0.17798382,0.14465464,0.584462,0.7810008,0.2380824,0.8349296,0
0.864321608,0.1495863,0.04752605,0.6613916,0.7096546,0.6368758,0.332329,0.909676,0.3089868,0.226393,0.14901242,0.04745662,0.3029454,0.4634066,0.2753486,0
0.874371859,0.5505641,0.5394551,0.9504706,0.8402518,0.6027775,0.6869907,0.1849357,0.2228134,0.2459806,0.9098476,0.3852374,0.9725412,0.4290636,0.2747572,1
0.603015075,0.8030277,0.2464907,0.7522042,0.4772031,0.4254292,0.6345703,0.4505266,0.494776,0.6809392,0.2523246,0.281616,0.2993352,0.65677,0.001851094,0
0.070351759,0.561407,0.9862696,0.7555638,0.2504377,0.3300666,0.9905528,0.3401948,0.6314744,0.4757326,0.9160544,0.3341844,0.7422846,0.8102486,0.7782556,0
0.246231156,0.2305541,0.8746224,0.560827,0.831636,0.02657492,0.7482173,0.7464402,0.8296658,0.2869426,0.187145,0.4476686,0.01852859,0.7565324,0.5673248,0
0.673366834,0.9009148,0.2509532,0.16319894,0.9964124,0.6128392,0.6989686,0.80709,0.661605,0.7600614,0.8968432,0.7423496,0.3648784,0.4471312,0.13416962,0
0.527638191,0.1324258,0.2929245,0.2277048,0.6007607,0.4734802,0.000551966,0.2551766,0.371277,0.3532012,0.2574706,0.7631298,0.570285,0.8398544,0.7365034,0
0,0.469726,0.6872092,0.784832,0.8789948,0.2786112,0.2586385,0.09973412,0.2392152,0.3615712,0.04342562,0.7981124,0.4666304,0.6128002,0.459213,0
0.040201005,0.8627815,0.840142,0.975516,0.2142796,0.4510813,0.2084614,0.866464,0.6852788,0.509524,0.7728584,0.09465534,0.17995576,0.9290234,0.356638,0
0.361809045,0.8071954,0.5622617,0.650059,0.6453889,0.7186547,0.04598483,0.011334348,0.4557454,0.9565376,0.379913,0.7166744,0.18013554,0.697704,0.2072968,0
0.492462312,0.7816664,0.940596,0.6950384,0.1020959,0.5317503,0.435789,0.04357652,0.323875,0.5777488,0.4563498,0.2616114,0.9429446,0.4239168,0.3030318,1
0.733668342,0.2709281,0.9540924,0.8467816,0.1960577,0.9037204,0.4431979,0.9887106,0.452908,0.7907798,0.547844,0.02133148,0.7246764,0.3663558,0.842928,0
0.909547739,0.2521135,0.3926336,0.15568168,0.2277034,0.7274104,0.8200121,0.5861044,0.9089922,0.7439616,0.9974888,0.8941876,0.9631318,0.8933624,0.2549976,0
0.633165829,0.6909955,0.04367146,0.731452,0.5112488,0.5431176,0.4554579,0.802665,0.4720412,0.207953,0.440265,0.005102532,0.4729176,0.820356,0.02310378,0
0.623115578,0.0555972,0.8201123,0.489021,0.5785625,0.05232126,0.5421482,0.6751804,0.8470102,0.779933,0.2254056,0.210699,0.8965094,0.10670684,0.04452262,0
0.206030151,0.387122,0.4368038,0.3830138,0.6663976,0.7800193,0.2967129,0.02728718,0.18703452,0.3658688,0.609701,0.8376042,0.2019734,0.9646422,0.431807,1
0.668341709,0.9118892,0.7010369,0.8528054,0.4402809,0.3587589,0.7816372,0.5906634,0.8034336,0.8602476,0.5999124,0.10584662,0.3655274,0.11489958,0.03009872,0
0.773869347,0.5865351,0.6558171,0.6451146,0.2492905,0.4575962,0.0233874,0.8742484,0.969983,0.590375,0.01797129,0.2419802,0.06163528,0.011518618,0.8996162,0
0.105527638,0.9936565,0.1293395,0.2068144,0.610417,0.8267096,0.6363402,0.8199556,0.2990658,0.493877,0.04786396,0.92144,0.4270828,0.0785148,0.5006578,0
0.261306533,0.6833196,0.1043501,0.7097806,0.6082719,0.1265965,0.4893334,0.422132,0.4667236,0.0179628,0.3894096,0.6596554,0.7101558,0.09190856,0.285031,0
0.582914573,0.1357388,0.7734954,0.2952042,0.04654675,0.9369155,0.5957846,0.14125636,0.000243373,0.2609414,0.13002508,0.2868948,0.4947432,0.41635,0.9780926,1
0.120603015,0.7693003,0.6542533,0.4827182,0.5332952,0.7859757,0.5618449,0.5807774,0.5764154,0.1550753,0.3373174,0.4713098,0.8393964,0.948061,0.15730124,1
0.452261307,0.4459416,0.4963604,0.09407244,0.366757,0.5050134,0.6757576,0.16977842,0.3920882,0.2245442,0.3479584,0.7391478,0.3259012,0.6881124,0.5881738,1
0.226130653,0.3425877,0.09245731,0.15074246,0.8555563,0.1318124,0.854767,0.9161474,0.097033,0.949655,0.4709964,0.4546954,0.7188524,0.3601714,0.173992,0
0.366834171,0.6632653,0.4407271,0.428512,0.2767846,0.3722854,0.9368453,0.7357292,0.8772404,0.653298,0.6767954,0.07078188,0.1501388,0.1882983,0.295622,0
0.381909548,0.6072455,0.6081485,0.3554928,0.01960086,0.8621432,0.05758999,0.6235886,0.1824735,0.5835304,0.7219088,0.6362766,0.10189868,0.5925172,0.7471228,1
0.592964824,0.8693491,0.07518182,0.4427136,0.548405,0.8350073,0.1849987,0.9969824,0.7960816,0.4098128,0.6594958,0.17913146,0.413609,0.5520978,0.5325178,0
0.155778894,0.1779856,0.0501664,0.1365801,0.9188573,0.1840419,0.7733693,0.825565,0.11638726,0.77231,0.3200784,0.4930462,0.2886482,0.5737298,0.10971716,0
0.618090452,0.02527078,0.730113,0.232389,0.5633965,0.7104151,0.4759292,0.944653,0.9649566,0.2923194,0.5808568,0.6210464,0.6857282,0.2085642,0.3081416,0
0.497487437,0.8144781,0.7384677,0.5733554,0.2682719,0.091477,0.349735,0.3033634,0.5177678,0.2655422,0.07781788,0.19263672,0.6689528,0.240324,0.5615046,0
