"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"15",70350.6373150403,71543.2068121425,72543.6475527826,73368.0885671161,74039.9513465731,74583.2379237169,75021.1236391133,75373.1299562544,75655.5020495728,75881.6310397966,76062.4735527697,76206.9419229596,76322.2521610937,76414.2254915876,76487.5443707176,76545.966620343,76592.5025270801,76629.5600651919,76659.0632007709,76682.5477776331,76701.2389255256,76716.1133576791,76727.9493853159,76737.3669938707,76744.8599071118,76750.8212102177,76755.5638062729,76759.3367356944,76762.3381874902,76764.7258680626,76766.6252611044,76768.1362055595,76769.3381328868,76770.2942361069,76771.0547880053,76771.6597818319,76772.1410326162,76772.5238491629,76772.8283643472,76773.0705934988,76773.2632764241,76773.4165472694,76773.5384674147,76773.6354494007,76773.7125941585,76773.7739592756,76773.8227723939,76773.8616009655,76773.8924872856,76773.9170559104
"16",168318.231159448,173082.34274433,174063.723428458,174134.650951502,174625.247120547,173764.95168694,172856.531133658,173017.334646746,173059.622435765,172736.794905366,173750.683857895,172267.77173266,172363.298254713,172526.424492951,172676.571289933,172086.828719026,171523.048691143,172520.10896398,172679.108327202,172561.10655371,172579.050450078,172749.126024821,172683.030028655,171900.827403769,172128.273151771,171418.870142784,170570.388456233,171465.469106536,172638.798503268,172141.148701628,171541.16225694,171660.226796953,171329.198829124,172857.885770229,172696.633860724,173065.761924453,173226.593784151,173613.094209006,173716.861996952,172865.127026999,173127.720323035,173603.0500937,173675.82607555,173659.043866833,173490.45174472,173509.756213959,173664.870349079,173977.049936706,174132.81304547,174014.383211475
"17",37145.5644703212,42773.3340193379,43002.0779379157,42912.8062818332,43011.7111716064,42881.7829006345,42953.6961614105,42979.2088986456,42906.8029173038,42914.0785013435,42883.8095375008,42870.3078237389,42858.4854359942,42812.2010200013,42793.7241293217,42807.3030219707,42864.8639534935,42840.0539030793,42820.272586139,42859.9462438566,42813.7415877208,42823.8861159532,42862.4034772061,42827.8607000985,42858.0074323768,42830.9595143466,42785.9337647032,42706.7874313875,42759.8742088543,42756.0054835869,42835.7251654327,42734.6294657633,42785.8666063553,42807.0337642687,42810.6429273125,42675.1003789258,42583.796659347,42643.0695626362,42668.8221498546,42589.6629463719,42531.8319215102,42516.881164403,42488.0242869581,42449.217593633,42602.1354396912,42504.6978084104,42556.8947711392,42618.4443884227,42551.4619816155,42538.692052178
"18",47160.8643375734,48851.5151305012,49429.1114280412,49649.2873952246,49740.3037689603,49785.1879506752,49754.9135758807,49676.4204468359,49631.0627100592,49611.8597626321,49558.4189627609,49621.0435075446,49677.3486063501,49722.0222392617,49709.3968906284,49664.3590420452,49736.2585839359,49701.699216483,49697.6980514343,49626.8752051227,49597.3399034504,49617.955391149,49606.9745503564,49627.1687014252,49643.0737805703,49618.4011927425,49706.9767267334,49607.4968656279,49596.132529497,49581.3525186706,49653.5892297954,49677.8860800866,49633.2167056654,49593.6741981312,49582.5783064716,49636.9636095959,49576.9928096156,49666.0750969022,49555.5726057589,49563.1982978755,49468.4421138873,49583.3553915289,49636.8671084372,49722.8017424805,49649.5068861176,49715.5110540522,49604.6567774775,49620.2414060682,49692.4522354216,49580.8292273092
"19",138515.359888541,137922.155457983,129812.664519985,121044.506949974,118117.967157589,118296.541037058,118077.585753895,118534.610979339,118449.581736554,119286.905624771,118523.897308256,118907.510054828,117348.8070931,118422.804658252,117892.842346851,117845.854870018,119124.616412362,118607.179933032,117319.021923026,118649.128167868,117690.75600662,116807.038993946,116841.485190391,116276.638577539,116440.645516097,117430.151761432,117335.280926635,117782.714206445,117581.990988639,118511.074996145,118029.962188816,118589.281617355,118070.286705231,118252.322358655,118198.572221876,119068.721822384,118098.518303855,120227.65582348,118932.610503644,118947.204251791,118219.108484767,118836.586883232,117559.750987091,117258.869131521,118492.88834133,118035.206128575,119413.710091672,118907.37740084,117759.624494474,119847.002075406
"20",84506.8327732178,157406.184235575,165460.823250882,165515.629815141,165521.707119334,165929.462868738,165827.561938973,165283.120776683,165103.91152734,165077.432977415,165291.890900974,165095.225635774,165403.256475328,165520.459958806,165391.346059195,165307.788959723,165134.517211849,165132.287164284,165137.462065433,165614.627649305,165693.627859761,165058.22989073,165314.528394667,165456.867002006,165583.132878946,165321.529035049,165724.884003202,165406.145720422,165374.935902286,165598.962990048,165586.05134801,165527.327218597,165329.5130296,164875.164228959,165599.602044439,165012.506862174,165067.015306884,165045.844196935,164622.020068525,164914.112452484,165136.24153784,165545.413991298,165408.996067569,165264.745986996,165316.582697471,165690.671889301,165206.497725051,165380.893224419,165289.868315133,165205.713352483
"21",75766.9159920245,106581.106317857,111154.636023003,111446.423415415,111247.637639947,110851.063345493,111335.358383732,111020.695676142,110637.78938985,110743.034904952,110727.612283882,110415.05671364,110735.468624447,110606.117454866,110664.539214752,110679.948699616,110865.152271464,111251.225935359,111506.211169905,111470.260298243,111546.223295469,111441.947331424,111581.74763396,111587.728193618,111511.408549226,111397.781688585,111298.538505837,110848.943095537,110797.106105942,111300.60233949,111182.006842481,110840.720060957,110916.404302338,110707.855912427,110601.720915506,110907.543286932,110853.319012725,110552.21888746,111208.154484849,111185.650809907,111054.249991934,111305.698497715,111291.954989362,111220.899724448,110541.194994429,110694.143347926,110605.48328824,110514.412362373,110686.24281164,110377.845896897
"22",134215.020946232,134975.894204941,135246.436324699,135387.998594291,135372.568262768,135440.158902769,135445.094507511,135464.498732843,135438.858039997,135464.803162002,135442.839039115,135417.839345838,135431.072893103,135451.781100708,135366.270855465,135336.988838055,135315.995258458,135307.829377843,135436.017385196,135456.346935152,135476.493388127,135446.757008958,135390.525465023,135418.003747281,135346.57977462,135399.54981107,135436.288784225,135460.713038516,135361.746852715,135326.816084602,135325.141018911,135424.51287412,135365.534336233,135477.571373881,135490.824601726,135491.983349752,135492.084650694,135492.093506625,135492.094280828,135472.635338374,135468.710382275,135490.049712095,135491.915605885,135492.078728382,135492.092988885,135492.094235566,135492.094344553,135492.094354082,135492.094354914,135492.094354986
"23",18474.7939096334,20255.3233452335,22017.5347611968,23678.2455741994,25267.4882479428,26681.7654034918,27927.4855003379,29081.811930514,30125.2330449754,31017.8364498379,31781.1609670672,32346.3855909501,32862.7643294353,33314.6221564415,33605.0387064923,33789.0142088434,34018.9490539675,34195.943117558,34428.4370838288,34570.1782466381,34671.1805783706,34762.7651934798,34723.0243729669,34750.427789685,34736.6759283124,34747.5087621846,34856.957413399,34939.0100920574,34993.8891223974,35098.054619368,35109.2709611856,35093.0341777689,35041.2366042624,35076.6234665317,35132.3754066337,35171.2882184834,35141.5642585763,35164.0179480777,35197.9188450337,35190.7465295547,35074.6108983089,35038.5922323095,35024.5999012279,35058.2576782955,35075.1357377127,35097.5969074394,35136.3786097935,35151.037573599,35182.3459350849,35197.5463883577
"24",161670.58160458,155313.419561723,152229.512952352,149837.653306327,149602.233698337,150120.356629074,150956.565230801,151555.926336225,151434.721112518,151726.664974646,151834.315512515,151779.825813919,149566.873124411,149845.758150298,149594.311705338,150688.29981928,150257.849535215,150820.895931239,150249.45553074,149385.514326548,150767.240477077,151487.865468,150999.608958898,151293.703754461,151482.218547001,152717.083284483,152760.215341388,153019.186034774,152626.837794596,151706.551475305,151943.800444211,151302.495396425,150510.832279734,152197.522401454,151670.468346836,150999.476284125,151158.359058459,151563.994127815,151196.773008997,151393.313160773,151652.438031038,150445.917018041,148678.986736743,148174.362464355,150250.471152103,150085.136185604,147316.057265332,147012.943255031,148508.621212816,149676.71683457
