"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"11",-5537382.73911437,-13522355.9783197,-12341415.982628,-12049508.1038334,-15523814.0606423,-9367012.51768168,-10258357.1662649,-12211688.2504304,-13158423.3099291,-11918702.6281517,-8974683.10472173,-12942016.5843034,-12013003.1615273,-13487039.4603156,-13125506.7424257,-15126636.1109807,-12362801.4415656,-11511091.8021945,-13589386.0464802,-9265123.33743655,-11323227.6511235,-13025854.5029035,-13667878.7445485,-12876034.7189959,-12756842.6028751,-12862798.5963949,-12808300.9915083,-12820765.8249614,-9511490.53203814,-11666727.1838457,-14501311.5323393,-14237240.7986178,-12245254.9550034,-10591301.6242846,-9853245.1760885,-10034004.525504,-12907993.450281,-13585656.5748202,-10688954.2660955,-11967197.9143056,-12356615.4861506,-11244805.4014884,-11579457.7094664,-8299848.0412879,-9945948.90278069,-13367542.1732384,-10142876.16013,-10994378.6028357,-12979694.0811554,-10190886.2962145
"12",661766.886331678,4230572.31840087,6909405.41477745,9125704.03214122,11672131.8262751,9721231.82832959,10421152.6740889,9333045.20845141,9023864.69057309,9677155.48942482,9643834.53079975,8931889.90831274,9483365.42616988,10371355.9075734,8372783.95751544,9186724.81503722,9493080.86272118,8696036.2777411,8982370.42598315,8322067.71024973,8531845.21874731,10336374.6955839,10217183.6422632,9109123.22504555,9088792.58592097,8714569.37002248,9590764.98019514,8754218.97918629,8165241.46519323,9739945.05762025,9646898.51453184,8883873.63753175,9935715.47284467,8622128.43391719,8556874.59496128,8903255.04879441,8939351.56877931,8721057.413672,9942088.60694641,9576840.1681761,8484396.33988115,8909764.62066104,9935571.5793205,9480900.6524505,8832747.50466897,9423160.54153297,9277292.98235419,9021568.44798485,8704379.2951487,8444107.52284398
"13",-2086002.43596667,-25827.852804776,-56802.3552810914,54281.6063486492,-35573.8692271669,0,-137419.249769338,-164976.689018434,0,-29361.4544057095,-966.650210360131,-41473.9950274232,-181923.399389173,92791.5633247168,-47241.2250614623,-24511.9398463735,13983.74168053,0,0,0,-21979.2395729477,-139265.812366444,27284.4932816905,-103473.826107131,0,0,0,-6011.01698747004,0,0,0,-24331.9196776823,-97678.1152347486,-146430.418981328,0,-290352.504552772,-175643.717508667,54140.7911887763,-116999.883482186,44814.9759715777,22986.3088116784,0,0,0,0,-183001.424770322,0,-104244.871514107,-80364.217222527,-205249.448580041
"14",-2852008.56521886,-494954.255546657,-315308.40140027,-507853.759240925,-478183.251914841,-266915.772982326,-45099.9090251391,-248142.201643815,-139969.222272838,-320150.26629575,-167026.524489021,-218250.250278351,-121161.680253371,-200316.907453646,-270388.735060661,-21934.8022172844,-264092.295397748,-310167.655161317,-287830.49935726,-314775.339967913,-126096.23831829,-220073.563436365,-278696.69325441,-248598.49633694,-82025.7156084721,-293064.252328325,-99364.3012418865,-157949.161437913,-342990.076287971,-358873.643971403,-250940.190728556,-137133.283928927,-144246.617539456,-201650.878780398,-772144.300832739,-283202.892414678,-156038.758362643,-748099.061937831,-367897.709384016,-635261.681449276,-505311.374270202,-298726.946980567,-298065.632440446,-228972.440524906,-141402.957325536,-213537.993186155,-285080.301214991,-433331.38381019,-472320.371999725,-584211.145152719
"15",413333.931037195,-3825.24607871234,-22181.5009402837,-34433.9388524086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",16343762.2752439,13827030.2653863,11622828.0837461,12309826.7552903,11162050.9287219,15157905.2414573,18175114.4439731,17432292.4502796,16083887.9533535,16853832.4823524,14383508.306502,21198885.962684,20286960.4537399,20146315.3818235,20139212.483357,21504933.1011675,22775381.1406366,19682658.3174854,19170806.1502368,20843013.8713604,19985106.3751698,19158151.2433514,19800622.8724606,23221865.1848592,21926775.428991,24395168.7839682,28039468.0462153,23540687.4292008,18841298.8695997,20597600.4369167,22572621.9561077,22843432.8099619,23288385.4155469,18340655.4904778,19166455.9441244,17114267.7441979,16473130.8360129,14710489.1061872,15711401.7732783,16948385.0440287,16668236.9799881,15478155.2342238,15881133.1675447,14875769.4841897,16509434.5081798,15219300.90515,16035323.6366809,13737889.3856697,13445837.3600027,15210498.5531086
"17",1903858.74901754,3568926.80265626,4800962.8883103,5416286.49290319,5098537.33407767,5982574.56670221,5114223.19316314,4982618.02801358,5776352.73744311,5714196.29190802,5778982.7404194,5733562.92186396,6190176.23045909,6670519.12547799,6348394.5616653,6575043.80263948,5917801.4161092,6484441.79403792,6578067.64765898,6540004.97806131,6401400.21981225,6666361.7393412,5896779.21578734,6081563.80671274,6374385.67190787,6589330.71392271,6595432.51900627,7192455.37771894,6806867.72424615,6672425.42485595,6432868.79945536,6873046.12158251,6459286.03452646,6268378.26761011,6693612.20133892,7582259.05892055,8391818.80803256,7998862.61448509,7648607.84082912,8312110.52803242,8392347.74579935,9012406.65760626,9201212.96574322,9393056.76813271,8362561.41020361,8871992.93790344,8186947.01675089,7986206.09976392,9137825.77075399,8902121.80946024
"18",-2616834.18618403,-1513377.72273443,-1004180.00941252,-489275.743889493,-483139.77243828,-344592.38744705,-354904.191818746,-1069078.48490533,-765993.306367021,-692489.933867051,-926270.365710151,-588929.599221798,-439082.583622434,-625088.987297538,-1217767.07843655,-1180628.6892889,-433853.760870106,-620625.905792011,-505553.566343391,-1028897.84292488,-1077212.89451467,-1373721.12058571,-641072.628330127,-1244652.40548257,-699270.94354205,-939455.339989925,-732794.505739898,-991297.847099263,-816717.347098002,-926533.90862948,-329132.258611042,-528385.799929589,-1111083.08314121,-1390675.30667584,-1228013.70781073,-313175.49990218,-774209.506279717,-476266.986806833,-1033439.82508468,-1099876.80580273,-2095424.26738658,-1091103.49637394,-1135061.15099244,-483383.167138539,-1093294.47688277,-838476.07980713,-1032408.72778423,-671453.33117533,-403169.719976653,-1050810.54045142
"19",25621671.6985178,49031097.1183074,67754249.8224167,68774423.3556985,57547630.6743601,53816168.3070483,51389117.4424074,53724209.784674,52019339.7476227,50663702.230789,51647161.460457,55190941.22473,55195140.4426883,50565840.5639087,53184083.1235251,50953018.6508528,52186780.933533,53054882.3178458,55039791.8065505,51658015.58631,55203090.0568824,55018810.3477451,52744340.2525083,54481044.5945553,52572702.2830082,50915792.296672,53746100.2686156,53532797.1296159,53194523.4358119,54475936.7432281,51595012.2341468,54180709.8471901,52550852.6252694,51753185.2876253,51956134.9521244,51532900.3596122,54066043.8997917,50104495.0032989,52939959.8425145,52467832.0264672,52365407.7409083,55925036.4756223,56312201.2721575,52184934.1987673,50342148.9449717,53105326.2999508,52006734.7849247,52655578.4594811,56666268.4694992,48484618.3014381
"20",-5377836.85709818,-3092230.64802976,-1585446.63559032,-3009222.10594664,-3825922.57400581,-2278156.85248107,-1486567.75523361,-5177482.7889503,-3698480.40230368,-4552245.43084032,-4003932.02089636,-4942016.71790424,-3949420.34472725,-4555764.37951665,-3343792.76046672,-2900259.96578214,-5010429.53245719,-4603668.11625573,-3357432.31609991,-3451734.31021076,-3365924.31366193,-5232670.21886402,-4268960.49115505,-2584280.39746783,-1695071.81748809,-3766099.9780136,-2012637.41819225,-2446694.83191133,-3414452.41893901,-4906796.32086086,-3097770.36329538,-3063338.85280459,-4254936.8807585,-5822792.80253639,-2644854.89963749,-5393472.83772796,-4068058.13378759,-5885421.58930822,-5826592.54104333,-6151007.4901676,-3976583.92128717,-2236535.81474213,-3164777.42941751,-4233691.21105965,-3122693.511469,-1760902.00659068,-4232339.30626493,-3605173.76814448,-3678460.1748636,-6052250.4693326
"21",-95164.2004232484,565402.225882035,2363388.32317204,2897548.09756771,4685221.52024549,6282668.42452774,3962313.207007,5531258.88379971,6922504.87219101,6696925.29103363,5980847.88459458,8006927.59287975,6489025.31654719,6703029.64389781,6642027.98997917,6611847.8953767,6025929.19415357,4216809.00344972,3071261.87088715,3674637.44224835,3130864.09086425,3940112.59970077,2747857.53483369,3009775.33039137,3107139.09953785,3129783.86065808,4118439.57129232,6152387.17576317,6438908.51548653,4411836.18216303,5218016.09136022,6176389.28029442,5678021.74193326,6682422.22041948,7477381.98511033,5479884.02177846,6547546.08974184,7279965.48965269,4721712.80155254,5348393.87384537,5098458.61915523,4182439.53290858,4768745.18478333,4749530.0550149,6935196.65996745,7114187.73280159,7247598.63417237,7708740.10831568,7287617.8240604,8269354.50738265
